fix_name,latitude,longitude
4341N,43.0,-41.0
4342N,43.0,-42.0
4343N,43.0,-43.0
4344N,43.0,-44.0
4345N,43.0,-45.0
4346N,43.0,-46.0
4347N,43.0,-47.0
4348N,43.0,-48.0
4349N,43.0,-49.0
4350N,43.0,-50.0
4351N,43.0,-51.0
4352N,43.0,-52.0
4353N,43.0,-53.0
4354N,43.0,-54.0
4355N,43.0,-55.0
4356N,43.0,-56.0
4357N,43.0,-57.0
4358N,43.0,-58.0
4359N,43.0,-59.0
4360N,43.0,-60.0
4361N,43.0,-61.0
4362N,43.0,-62.0
4363N,43.0,-63.0
4364N,43.0,-64.0
4365N,43.0,-65.0
4366N,43.0,-66.0
4367N,43.0,-67.0
4368N,43.0,-68.0
4369N,43.0,-69.0
4370N,43.0,-70.0
4371N,43.0,-71.0
4372N,43.0,-72.0
4373N,43.0,-73.0
4374N,43.0,-74.0
4375N,43.0,-75.0
4376N,43.0,-76.0
4377N,43.0,-77.0
4378N,43.0,-78.0
4379N,43.0,-79.0
4380N,43.0,-80.0
43THR,43.669647,-72.210272
43VOR,48.516003,-2.059919
4400E,44.0,0.0
4400N,44.0,0.0
4401N,44.0,-1.0
4402N,44.0,-2.0
4403N,44.0,-3.0
4404N,44.0,-4.0
4405N,44.0,-5.0
4406N,44.0,-6.0
4407N,44.0,-7.0
4408N,44.0,-8.0
4409N,44.0,-9.0
4410N,44.0,-10.0
4411N,44.0,-11.0
4412N,44.0,-12.0
4413N,44.0,-13.0
4414N,44.0,-14.0
4415N,44.0,-15.0
4416N,44.0,-16.0
4417N,44.0,-17.0
4418N,44.0,-18.0
4419N,44.0,-19.0
4420N,44.0,-20.0
4421N,44.0,-21.0
4422N,44.0,-22.0
4423N,44.0,-23.0
4424N,44.0,-24.0
4425N,44.0,-25.0
4426N,44.0,-26.0
4427N,44.0,-27.0
4428N,44.0,-28.0
4429N,44.0,-29.0
4430N,44.0,-30.0
4431N,44.0,-31.0
4432N,44.0,-32.0
4433N,44.0,-33.0
4434N,44.0,-34.0
4435N,44.0,-35.0
4436N,44.0,-36.0
4437N,44.0,-37.0
4438N,44.0,-38.0
4439N,44.0,-39.0
4440N,44.0,-40.0
4441N,44.0,-41.0
4442N,44.0,-42.0
4443N,44.0,-43.0
4444N,44.0,-44.0
4445N,44.0,-45.0
4446N,44.0,-46.0
4447N,44.0,-47.0
4448N,44.0,-48.0
4449N,44.0,-49.0
4450N,44.0,-50.0
4451N,44.0,-51.0
4452N,44.0,-52.0
4453N,44.0,-53.0
4454N,44.0,-54.0
4455N,44.0,-55.0
4456N,44.0,-56.0
4457N,44.0,-57.0
4458N,44.0,-58.0
4459N,44.0,-59.0
4460N,44.0,-60.0
4461N,44.0,-61.0
4462N,44.0,-62.0
4463N,44.0,-63.0
4464N,44.0,-64.0
4465N,44.0,-65.0
4466N,44.0,-66.0
4467N,44.0,-67.0
4468N,44.0,-68.0
4469N,44.0,-69.0
4470N,44.0,-70.0
4471N,44.0,-71.0
4472N,44.0,-72.0
4473N,44.0,-73.0
4474N,44.0,-74.0
4475N,44.0,-75.0
4476N,44.0,-76.0
4477N,44.0,-77.0
4478N,44.0,-78.0
4479N,44.0,-79.0
4480N,44.0,-80.0
44LOC,49.130075,-0.356975
44TAC,51.548492,-1.110444
4500E,45.0,0.0
4500N,45.0,0.0
4501N,45.0,-1.0
4502N,45.0,-2.0
4503N,45.0,-3.0
4504N,45.0,-4.0
4505N,45.0,-5.0
4506N,45.0,-6.0
4507N,45.0,-7.0
4508N,45.0,-8.0
4509N,45.0,-9.0
4510N,45.0,-10.0
4511N,45.0,-11.0
4512N,45.0,-12.0
4513N,45.0,-13.0
4514N,45.0,-14.0
4515N,45.0,-15.0
4516N,45.0,-16.0
4517N,45.0,-17.0
4518N,45.0,-18.0
4519N,45.0,-19.0
4520N,45.0,-20.0
4521N,45.0,-21.0
4522N,45.0,-22.0
4523N,45.0,-23.0
4524N,45.0,-24.0
4525N,45.0,-25.0
4526N,45.0,-26.0
4527N,45.0,-27.0
4528N,45.0,-28.0
4529N,45.0,-29.0
4530N,45.0,-30.0
4531N,45.0,-31.0
4532N,45.0,-32.0
4533N,45.0,-33.0
4534N,45.0,-34.0
4535N,45.0,-35.0
4536N,45.0,-36.0
4537N,45.0,-37.0
4538N,45.0,-38.0
4539N,45.0,-39.0
4540N,45.0,-40.0
4541N,45.0,-41.0
4542N,45.0,-42.0
4543N,45.0,-43.0
4544N,45.0,-44.0
4545N,45.0,-45.0
4546N,45.0,-46.0
4547N,45.0,-47.0
4548N,45.0,-48.0
4549N,45.0,-49.0
4550N,45.0,-50.0
4551N,45.0,-51.0
4552N,45.0,-52.0
4553N,45.0,-53.0
4554N,45.0,-54.0
4555N,45.0,-55.0
4556N,45.0,-56.0
4557N,45.0,-57.0
4558N,45.0,-58.0
4559N,45.0,-59.0
4560N,45.0,-60.0
4561N,45.0,-61.0
4562N,45.0,-62.0
4563N,45.0,-63.0
4564N,45.0,-64.0
4565N,45.0,-65.0
4566N,45.0,-66.0
4567N,45.0,-67.0
4568N,45.0,-68.0
4569N,45.0,-69.0
4570N,45.0,-70.0
4571N,45.0,-71.0
4572N,45.0,-72.0
4573N,45.0,-73.0
4574N,45.0,-74.0
4575N,45.0,-75.0
4576N,45.0,-76.0
4577N,45.0,-77.0
4578N,45.0,-78.0
4579N,45.0,-79.0
4580N,45.0,-80.0
45NM,42.919175,-1.755278
45TA2,51.198894,-1.664044
45TAC,51.198894,-1.664044
4600E,46.0,0.0
4600N,46.0,0.0
4601N,46.0,-1.0
4602N,46.0,-2.0
4603N,46.0,-3.0
4604N,46.0,-4.0
